gene	d	SFARIscore	SFARIscore_1s	SFARIscore_2s
CSGALNACT1	6	0	1.14285714285714	0.6101
KCNH5	6	0	1.14285714285714	0.9638
MSRA	5	0	1.33333333333333	0.6137
PAM	5	0	1.5	1.1478
CHSY3	4	0	1.4	0.8276
HS3ST4	4	0	1.6	0.9321
ATP5MC1	2	0	1	0.7111
CACNB4	2	0	1	0.8222
CYC1	2	0	1.33333333333333	0.8069
GNG3	2	0	1	0.6111
MOXD1	2	0	1	0.6887
OSBPL10	2	0	1	0.775
ACYP2	1	0	1	0.825
ADCY1	1	0	1	0.825
APP	1	0	1	0.825
ARF1	1	0	1.5	1
ART3	1	0	1	0.8478
BSG	1	0	1.5	1
CBLB	1	0	1	1.0882
CDC14B	1	0	1.5	1.1719
ENO2	1	0	1.5	1
EPHA7	1	0	1	0.825
GALNT18	1	0	1	1.0882
KCNH1	1	0	1	0.825
MAN1C1	1	0	1	0.825
PAPSS2	1	0	1.5	1.1719
PRNP	1	0	1.5	1
REPS2	1	0	1	0.825
